States,Plant_name,Owner_name,Coutry_name,LAT,LON,net_caol_generation,net_oil_generation,net_gas_generation,net_nuclear_generation,net_hydro_generation,new_biomass_generation,net_wind_generation,net_solar_generation,net_geothermal_generation,net_fossil_generation,net_unknownfuel_generation,net_nonrenewables_generation,net_renewables_generation,net_nonhydrorenewables_generations,net_combustion_generation,net_noncombusition_generation,coal_generation_percentage,oil_generation_percentage,gas_generation_percentage,nuclear_generation_percentage,hydro_generation_percentage,biomass_generation_percentage,wind_generation_percentage,solar_generation_percentage,geothermal_generation_percentage,fossile_generation_percentage,unknowfuel_genertion_percentage,nonrenewable_generation_percentage,renewable_generation_percentage,nonhydrorenewable_generation_percentage,combustion_generation_percentage,noncombustion_generation_percentage
AZ,Sandstone Solar,Salt River Project,Pinal,33.035556,-111.430278,0,0,0,0,0,0,0,"120,772",0,0,0,0,"120,772","120,772",0,"120,772",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AZ,Santan,Salt River Project,Maricopa,33.3325,-111.7503,0,0,"6,113,623",0,0,0,0,0,0,0,0,"6,113,623",0,0,"6,113,623",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AZ,Solana Generating Station,Arizona Public Service Co,Maricopa,32.922294,-112.95594,0,0,0,0,0,0,0,"791,642",0,0,0,0,"791,642","791,642",0,"791,642",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AZ,South Consolidated,Salt River Project,Maricopa,33.466477,-111.781064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,"South Point Energy Center, LLC",WAPA-- Western Area Power Administration,Mohave,34.8678,-114.5317,0,0,"1,886,216",0,0,0,0,0,0,0,0,"1,886,216",0,0,"1,886,216",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AZ,Springerville Generating Station,Tucson Electric Power Co,Apache,34.3186,-109.1639,"7,900,771","25,466",0,0,0,0,0,"19,097",0,0,0,"7,926,237","19,097","19,097","7,926,237","19,097",99.4%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,99.8%,0.2%,0.2%,99.8%,0.2%
AZ,Stewart Mountain,Salt River Project,Maricopa,33.5661,-111.536,0,0,0,0,(164),0,0,0,0,0,0,0,(164),0,0,(164),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Sulphur Springs,Sulphur Springs Valley E C Inc,Cochise,32.0628,-109.919283,0,0,0,0,0,0,0,"51,926",0,0,0,0,"51,926","51,926",0,"51,926",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AZ,Sun Stream 2,Salt River Project,Maricopa,33.320406,-112.816771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,"Sun Streams, LLC",Southern California Edison Co,Maricopa,33.34884,-112.8348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Sundance Power Plant,WAPA-- Western Area Power Administration,Pinal,32.9285,-111.5899,0,0,"303,204",0,0,0,0,0,0,0,0,"303,204",0,0,"303,204",0,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%
AZ,T0588 Phoenix - AZ,Salt River Project,Maricopa,33.447225,-112.217664,0,0,0,0,0,0,0,"2,402",0,0,0,0,"2,402","2,402",0,"2,402",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AZ,TAA Solar Facility,Tucson Electric Power Co,Pima,32.115833,-110.940833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Tech Park Solar,Tucson Electric Power Co,Pima,32.097884,-110.815696,0,0,0,0,0,0,0,"13,302",0,0,0,0,"13,302","13,302",0,"13,302",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AZ,Tri Cities,Salt River Project,Maricopa,33.4833,-111.8172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,UASTP I,Tucson Electric Power Co,Pima,32.096973,-110.8106,0,0,0,0,0,0,0,"2,203",0,0,0,0,"2,203","2,203",0,"2,203",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
AZ,Union HS at Casa Grande,Arizona Public Service Co,Pinal,32.936944,-111.738611,0,0,0,0,0,0,0,"2,852",0,0,0,0,"2,852","2,852",0,"2,852",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%
